ประเทศ,การจัดเตรียมการเดินทาง,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563
เอเชียตะวันออก,รวม,"10,548,965","12,775,001","16,097,468","14,767,849","20,093,929","21,861,353","24,166,276","26,225,446","27,669,963","3,786,050"
เอเชียตะวันออก,เดินทางเป็นกลุ่ม,"3,369,614","4,354,090","5,703,904","4,809,412","6,978,538","6,693,012","7,172,809","7,646,367","7,936,313","967,951"
เอเชียตะวันออก,เดินทางด้วยตัวเอง,"7,179,351","8,420,911","10,393,564","9,958,437","13,115,391","15,168,341","16,993,467","18,579,079","19,733,650","2,818,099"
กลุ่มอาเซียน,รวม,"5,718,005","6,462,647","7,410,441","6,770,584","8,078,262","8,897,291","9,644,324","10,348,768","10,876,922","1,645,994"
กลุ่มอาเซียน,เดินทางเป็นกลุ่ม,"1,691,442","1,947,015","2,357,219","2,150,127","2,447,134","2,230,565","2,085,572","2,230,876","2,280,688","295,689"
กลุ่มอาเซียน,เดินทางด้วยตัวเอง,"4,026,563","4,515,632","5,053,222","4,620,457","5,631,128","6,666,726","7,558,752","8,117,892","8,596,234","1,350,305"
บรูไนดารุสซาลาม,รวม,"10,142","13,319","16,181","13,927","17,433","17,994","18,249","18,460","19,858","2,444"
บรูไนดารุสซาลาม,เดินทางเป็นกลุ่ม,637,"1,460","1,638","2,136","2,039","2,346","2,033","2,083","2,503",385
บรูไนดารุสซาลาม,เดินทางด้วยตัวเอง,"9,505","11,859","14,543","11,791","15,394","15,648","16,216","16,377","17,355","2,059"
กัมพูชา,รวม,"271,265","430,538","487,001","555,852","544,818","684,836","851,879","950,980","925,437","164,270"
กัมพูชา,เดินทางเป็นกลุ่ม,"18,230","30,156","29,419","29,576","24,977","29,229","50,145","46,764","60,951","10,229"
กัมพูชา,เดินทางด้วยตัวเอง,"253,035","400,382","457,582","526,276","519,841","655,607","801,734","904,216","864,486","154,041"
อินโดนีเซีย,รวม,"370,681","449,360","595,015","495,662","470,820","558,499","594,060","644,479","706,908","96,993"
อินโดนีเซีย,เดินทางเป็นกลุ่ม,"116,651","157,442","197,641","164,801","150,301","184,854","186,966","193,016","207,957","30,237"
อินโดนีเซีย,เดินทางด้วยตัวเอง,"254,030","291,918","397,374","330,861","320,519","373,645","407,094","451,463","498,951","66,756"
ลาว,รวม,"895,359","981,081","984,886","1,063,736","1,230,521","1,414,916","1,692,866","1,682,304","1,856,762","382,246"
ลาว,เดินทางเป็นกลุ่ม,"26,767","24,982","26,332","34,382","43,200","34,225","56,404","55,899","61,689","16,494"
ลาว,เดินทางด้วยตัวเอง,"868,592","956,099","958,554","1,029,354","1,187,321","1,380,691","1,636,462","1,626,405","1,795,073","365,752"
มาเลเซีย,รวม,"2,492,034","2,546,072","3,031,072","2,603,671","3,407,553","3,506,199","3,493,112","4,042,998","4,274,458","612,922"
มาเลเซีย,เดินทางเป็นกลุ่ม,"1,210,656","1,313,378","1,594,984","1,481,204","1,753,978","1,431,890","1,221,238","1,340,412","1,335,412","160,474"
มาเลเซีย,เดินทางด้วยตัวเอง,"1,281,378","1,232,694","1,436,088","1,122,467","1,653,575","2,074,309","2,271,874","2,702,586","2,939,046","452,448"
พม่า,รวม,"111,545","129,714","173,272","207,749","263,422","363,871","387,722","379,880","389,301","54,941"
พม่า,เดินทางเป็นกลุ่ม,"13,382","16,693","23,095","22,552","28,820","44,116","46,276","47,023","52,431","10,552"
พม่า,เดินทางด้วยตัวเอง,"98,163","113,021","150,177","185,197","234,602","319,755","341,446","332,857","336,870","44,389"
ฟิลิปปินส์,รวม,"262,839","280,585","315,040","296,339","301,297","323,860","361,218","407,832","473,565","68,359"
ฟิลิปปินส์,เดินทางเป็นกลุ่ม,"53,579","63,914","76,066","67,804","60,417","74,216","77,274","84,748","96,501","16,650"
ฟิลิปปินส์,เดินทางด้วยตัวเอง,"209,260","216,671","238,974","228,535","240,880","249,644","283,944","323,084","377,064","51,709"
สิงคโปร์,รวม,"789,339","994,631","1,067,286","960,464","1,074,755","1,163,309","1,259,523","1,168,112","1,150,024","132,511"
สิงคโปร์,เดินทางเป็นกลุ่ม,"77,385","103,580","157,088","207,948","149,971","158,857","116,194","114,441","130,702","10,364"
สิงคโปร์,เดินทางด้วยตัวเอง,"711,954","891,051","910,198","752,516","924,784","1,004,452","1,143,329","1,053,671","1,019,322","122,147"
เวียดนาม,รวม,"514,801","637,347","740,688","573,184","767,643","863,807","985,695","1,053,723","1,080,609","131,308"
เวียดนาม,เดินทางเป็นกลุ่ม,"174,155","235,410","250,956","139,724","233,431","270,832","329,042","346,490","332,542","40,304"
เวียดนาม,เดินทางด้วยตัวเอง,"340,646","401,937","489,732","433,460","534,212","592,975","656,653","707,233","748,067","91,004"
จีน,รวม,"1,704,800","2,761,213","4,609,717","4,631,981","7,981,407","8,821,148","9,846,818","10,625,167","11,138,658","1,302,137"
จีน,เดินทางเป็นกลุ่ม,"692,183","1,287,666","2,041,464","1,785,718","3,586,224","3,455,186","3,972,764","4,187,112","4,295,075","463,825"
จีน,เดินทางด้วยตัวเอง,"1,012,617","1,473,547","2,568,253","2,846,263","4,395,183","5,365,962","5,874,054","6,438,055","6,843,583","838,312"
ฮ่องกง,รวม,"531,192","604,900","694,084","559,284","708,435","690,465","798,460","1,047,559","1,090,121","131,988"
ฮ่องกง,เดินทางเป็นกลุ่ม,"112,430","126,134","140,889","120,563","128,389","152,118","142,816","160,543","199,378","27,512"
ฮ่องกง,เดินทางด้วยตัวเอง,"418,762","478,766","553,195","438,721","580,046","538,347","655,644","887,016","890,743","104,476"
ญี่ปุ่น,รวม,"1,103,073","1,341,063","1,515,718","1,254,858","1,349,388","1,416,903","1,525,707","1,642,712","1,787,185","314,044"
ญี่ปุ่น,เดินทางเป็นกลุ่ม,"205,741","301,023","391,429","210,132","209,085","205,395","222,195","254,576","284,662","59,063"
ญี่ปุ่น,เดินทางด้วยตัวเอง,"897,332","1,040,040","1,124,289","1,044,726","1,140,303","1,211,508","1,303,512","1,388,136","1,502,523","254,981"
เกาหลี,รวม,"1,001,105","1,153,457","1,292,335","1,109,429","1,359,211","1,449,617","1,698,608","1,785,147","1,880,465","262,313"
เกาหลี,เดินทางเป็นกลุ่ม,"507,976","579,317","622,023","462,913","504,652","523,605","621,437","656,858","670,918","87,094"
เกาหลี,เดินทางด้วยตัวเอง,"493,129","574,140","670,312","646,516","854,559","926,012","1,077,171","1,128,289","1,209,547","175,219"
